Restaurant,Review,Vader_Score,Vader_Pos,Vader_Neg,Vader_Neu,Vader_Pred
River View,Food is good but you primarily go there for the location.,0.2382,0.163,0.0,0.837,Positive
River View,"Service was a bit slow on Sunday, but the scenery makes up for it.",0.0,0.0,0.0,1.0,Neutral
River View,Great place for a quiet evening near the water.,0.6249,0.369,0.0,0.631,Positive
Oasis,"Very clean and hygienic place, perfect for students.",0.7713,0.527,0.0,0.473,Positive
Oasis,Loved the variety of snacks and cold beverages.,0.5994,0.358,0.0,0.642,Positive
Oasis,Quick service and very friendly staff.,0.5413,0.411,0.0,0.589,Positive
Oasis,The interior is very modern and cozy.,0.0,0.0,0.0,1.0,Neutral
Oasis,Affordable prices for the quality they provide.,0.0,0.0,0.0,1.0,Neutral
Mana Cafe,"The best momos I have had in Majhitar, hands down.",0.6369,0.344,0.0,0.656,Positive
Mana Cafe,"Small, intimate setting with very authentic local taste.",0.0,0.0,0.0,1.0,Neutral
Mana Cafe,"Try their special tea, it is refreshing.",0.4019,0.31,0.0,0.69,Positive
Mana Cafe,"Great hospitality, the owner is very kind.",0.8313,0.609,0.0,0.391,Positive
Mana Cafe,Authentic flavors and very reasonable rates.,0.0,0.0,0.0,1.0,Neutral
