Restaurant,Review,Vader_Score,Vader_Pred,Roberta_Label,Roberta_Score,Roberta_Num,Roberta_Jitter
Down town Restro & Bar,Great nightlife experience,0.6249,Positive,Positive,0.976314902305603,1,1.0713914197833025
Down town Restro & Bar,Food was tasty and drinks were good,0.4404,Positive,Positive,0.9748456478118896,1,0.8637935621551417
Down town Restro & Bar,Bit expensive but worth it,0.3291,Positive,Neutral,0.5202327370643616,0,0.16809442334137714
Down town Restro & Bar,Service was slow,0.0,Neutral,Negative,0.8133611679077148,-1,-0.993628816884691
Down town Restro & Bar,Loved the ambience,0.5994,Positive,Positive,0.9742498397827148,1,1.0194687409241843
Tashi Shaa-Khang Chinese Restaurant,Authentic Chinese taste,0.0,Neutral,Positive,0.7238950133323669,1,0.9585686519377403
Tashi Shaa-Khang Chinese Restaurant,Noodles were amazing,0.5859,Positive,Positive,0.9743812680244446,1,0.8316686123416019
Tashi Shaa-Khang Chinese Restaurant,Portion size was good,0.4404,Positive,Positive,0.9017132520675659,1,0.8143734013794158
Tashi Shaa-Khang Chinese Restaurant,Service was okay,0.2263,Positive,Positive,0.7955162525177002,1,0.9660581108202924
Tashi Shaa-Khang Chinese Restaurant,Nice place for Chinese food,0.4215,Positive,Positive,0.938262403011322,1,1.0792723337168133
Biryani Kitchen Majhitar,Biryani was flavorful and tasty,0.0,Neutral,Positive,0.9570066332817078,1,0.9531513508909503
Biryani Kitchen Majhitar,Too oily for my taste,0.0,Neutral,Negative,0.6420507431030273,-1,-1.1619930568347248
Biryani Kitchen Majhitar,Good quantity and affordable,0.4404,Positive,Positive,0.857634961605072,1,0.8212283036520885
Biryani Kitchen Majhitar,Average taste,0.0,Neutral,Negative,0.45467597246170044,-1,-0.9307535110694888
Biryani Kitchen Majhitar,Quick service and decent food,0.0,Neutral,Positive,0.914920449256897,1,0.932681860710332
Brunch Cafe,Perfect place for brunch,0.5719,Positive,Positive,0.9694316983222961,1,0.944933945655478
Brunch Cafe,Loved the sandwiches and coffee,0.5994,Positive,Positive,0.9759352207183838,1,1.0429102786620206
Brunch Cafe,Nice ambience,0.4215,Positive,Positive,0.921181321144104,1,1.141707432977887
Brunch Cafe,Service was slow,0.0,Neutral,Negative,0.8133611679077148,-1,-1.0066476062407896
Brunch Cafe,Good food but slightly expensive,0.2382,Positive,Positive,0.42642366886138916,1,0.9451597042500195
Bliss N Taste,Tasty food and friendly staff,0.4939,Positive,Positive,0.9763359427452087,1,1.0043042454351796
Bliss N Taste,Nice place for family,0.4215,Positive,Positive,0.9464657306671143,1,1.0845805277613707
Bliss N Taste,Food was average,0.0,Neutral,Negative,0.7827935218811035,-1,-1.1334894518310035
Bliss N Taste,Clean and hygienic,0.4019,Positive,Positive,0.664772629737854,1,1.1739201775235357
Bliss N Taste,Service needs improvement,0.4588,Positive,Neutral,0.5197076797485352,0,-0.15111317948201297
River View,Best view of the Teesta river while having dinner.,0.6369,Positive,Positive,0.9671117067337036,1,0.8510661346360262
River View,"The outdoor seating is amazing, very peaceful vibe.",0.807,Positive,Positive,0.9842979311943054,1,0.8341164067928138
River View,Food is good but you primarily go there for the location.,0.2382,Positive,Positive,0.7991368174552917,1,0.9650083574266313
River View,"Service was a bit slow on Sunday, but the scenery makes up for it.",0.0,Neutral,Neutral,0.44457051157951355,0,0.18706120649594044
River View,Great place for a quiet evening near the water.,0.6249,Positive,Positive,0.9674516916275024,1,0.94610450011134
Oasis,"Very clean and hygienic place, perfect for students.",0.7713,Positive,Positive,0.9813690185546875,1,0.9553612451445253
Oasis,Loved the variety of snacks and cold beverages.,0.5994,Positive,Positive,0.9770483374595642,1,0.8254759099832842
Oasis,Quick service and very friendly staff.,0.5413,Positive,Positive,0.9601820111274719,1,0.9014007303835033
Oasis,The interior is very modern and cozy.,0.0,Neutral,Positive,0.9594431519508362,1,1.0896871128858467
Oasis,Affordable prices for the quality they provide.,0.0,Neutral,Positive,0.6001498699188232,1,1.1702498855995542
Mana Cafe,"The best momos I have had in Majhitar, hands down.",0.6369,Positive,Positive,0.9820659756660461,1,1.1059306994439269
Mana Cafe,"Small, intimate setting with very authentic local taste.",0.0,Neutral,Positive,0.8939427137374878,1,0.8752078293208468
Mana Cafe,"Try their special tea, it is refreshing.",0.4019,Positive,Positive,0.9774374961853027,1,0.9291058947479609
Mana Cafe,"Great hospitality, the owner is very kind.",0.8313,Positive,Positive,0.9724669456481934,1,0.9155851776590074
Mana Cafe,Authentic flavors and very reasonable rates.,0.0,Neutral,Positive,0.9097442626953125,1,1.09483541596894
